Altura,hour
154 ,522
236 ,523
288 ,524
310 ,525
313 ,526
309 ,527
306 ,528
312 ,529
331 ,530
349 ,531
361 ,532
374 ,533
382 ,534
369 ,535
325 ,536
255 ,537
164 ,538
66 ,539
-22 ,540
-88 ,541
-122 ,542
-118 ,543
-77 ,544
-4 ,545
90 ,546
180 ,547
249 ,548
287 ,549
298 ,550
293 ,551
284 ,552
280 ,553
291 ,554
310 ,555
325 ,556
337 ,557
352 ,558
360 ,559
342 ,560
295 ,561
222 ,562
132 ,563
40 ,564
-39 ,565
-95 ,566
-116 ,567
-98 ,568
-44 ,569
35 ,570
124 ,571
202 ,572
256 ,573
281 ,574
280 ,575
266 ,576
254 ,577
252 ,578
263 ,579
278 ,580
291 ,581
305 ,582
323 ,583
327 ,584
305 ,585
256 ,586
186 ,587
101 ,588
19 ,589
-48 ,590
-90 ,591
-95 ,592
-61 ,593
1 ,594
78 ,595
156 ,596
220 ,597
260 ,598
271 ,599
259 ,600
240 ,601
226 ,602
223 ,603
230 ,604
241 ,605
253 ,606
269 ,607
286 ,608
286 ,609
261 ,610
215 ,611
150 ,612
76 ,613
6 ,614
-45 ,615
-69 ,616
-56 ,617
-11 ,618
52 ,619
121 ,620
186 ,621
237 ,622
263 ,623
261 ,624
240 ,625
217 ,626
201 ,627
194 ,628
195 ,629
202 ,630
213 ,631
230 ,632
243 ,633
240 ,634
217 ,635
177 ,636
121 ,637
59 ,638
7 ,639
-25 ,640
-29 ,641
-2 ,642
47 ,643
104 ,644
163 ,645
216 ,646
253 ,647
264 ,648
251 ,649
225 ,650
198 ,651
177 ,652
164 ,653
160 ,654
164 ,655
174 ,656
189 ,657
200 ,658
198 ,659
180 ,660
148 ,661
103 ,662
58 ,663
26 ,664
15 ,665
26 ,666
60 ,667
105 ,668
155 ,669
204 ,670
245 ,671
267 ,672
265 ,673
243 ,674
211 ,675
179 ,676
152 ,677
133 ,678
126 ,679
127 ,680
136 ,681
152 ,682
165 ,683
166 ,684
156 ,685
134 ,686
103 ,687
78 ,688
66 ,689
69 ,690
88 ,691
123 ,692
163 ,693
204 ,694
242 ,695
269 ,696
276 ,697
263 ,698
233 ,699
195 ,700
156 ,701
123 ,702
101 ,703
91 ,704
91 ,705
103 ,706
123 ,707
141 ,708
149 ,709
147 ,710
138 ,711
125 ,712
118 ,713
120 ,714
130 ,715
151 ,716
183 ,717
216 ,718
248 ,719
275 ,720
288 ,721
282 ,722
258 ,723
219 ,724
172 ,725
127 ,726
91 ,727
67 ,728
56 ,729
58 ,730
78 ,731
107 ,732
131 ,733
146 ,734
156 ,735
161 ,736
164 ,737
168 ,738
175 ,739
187 ,740
209 ,741
237 ,742
263 ,743
