anio,mes,dia,hora(utc),altura(mm)
2016,1,11,22,282 
2016,1,11,23,301 
2016,1,12,0,298 
2016,1,12,1,286 
2016,1,12,2,277 
2016,1,12,3,278 
2016,1,12,4,289 
2016,1,12,5,305 
2016,1,12,6,320 
2016,1,12,7,335 
2016,1,12,8,347 
2016,1,12,9,339 
2016,1,12,10,298 
2016,1,12,11,229 
2016,1,12,12,147 
2016,1,12,13,61 
2016,1,12,14,-17 
2016,1,12,15,-73 
2016,1,12,16,-100 
2016,1,12,17,-91 
2016,1,12,18,-45 
2016,1,12,19,27 
2016,1,12,20,110 
2016,1,12,21,189 
2016,1,12,22,252 
2016,1,12,23,288 
2016,1,13,0,296 
2016,1,13,1,284 
2016,1,13,2,267 
2016,1,13,3,254 
2016,1,13,4,249 
2016,1,13,5,252 
2016,1,13,6,263 
2016,1,13,7,277 
2016,1,13,8,293 
2016,1,13,9,306 
2016,1,13,10,300 
2016,1,13,11,264 
2016,1,13,12,204 
2016,1,13,13,131 
2016,1,13,14,55 
2016,1,13,15,-10 
2016,1,13,16,-51 
2016,1,13,17,-64 
2016,1,13,18,-43 
2016,1,13,19,7 
2016,1,13,20,74 
2016,1,13,21,147 
2016,1,13,22,217 
2016,1,13,23,270 
2016,1,14,0,293 
2016,1,14,1,289 
2016,1,14,2,268 
2016,1,14,3,243 
2016,1,14,4,222 
2016,1,14,5,207 
2016,1,14,6,202 
2016,1,14,7,209 
2016,1,14,8,222 
2016,1,14,9,240 
2016,1,14,10,259 
2016,1,14,11,261 
2016,1,14,12,236 
2016,1,14,13,190 
2016,1,14,14,130 
2016,1,14,15,69 
2016,1,14,16,23 
2016,1,14,17,-2 
2016,1,14,18,-3 
2016,1,14,19,23 
2016,1,14,20,70 
2016,1,14,21,128 
2016,1,14,22,191 
2016,1,14,23,250 
2016,1,15,0,290 
2016,1,15,1,298 
2016,1,15,2,281 
2016,1,15,3,250 
2016,1,15,4,215 
2016,1,15,5,181 
2016,1,15,6,154 
2016,1,15,7,143 
2016,1,15,8,146 
2016,1,15,9,159 
2016,1,15,10,182 
2016,1,15,11,211 
2016,1,15,12,227 
2016,1,15,13,217 
2016,1,15,14,186 
